"site","aphiaID"
"Aldabra Atoll",207059
"Aldabra Atoll",207066
"Aldabra Atoll",207072
"Aldabra Atoll",207074
"Aldabra Atoll",207075
"Aldabra Atoll",207080
"Aldabra Atoll",207083
"Aldabra Atoll",207087
"Aldabra Atoll",207093
"Aldabra Atoll",207094
"Aldabra Atoll",207095
"Aldabra Atoll",207097
"Aldabra Atoll",207100
"Aldabra Atoll",207102
"Aldabra Atoll",207103
"Aldabra Atoll",207105
"Aldabra Atoll",207106
"Aldabra Atoll",207113
"Aldabra Atoll",207114
"Aldabra Atoll",207121
"Aldabra Atoll",207123
"Aldabra Atoll",207125
"Aldabra Atoll",207127
"Aldabra Atoll",207128
"Aldabra Atoll",207129
"Aldabra Atoll",207133
"Aldabra Atoll",207135
"Aldabra Atoll",207139
"Aldabra Atoll",207142
"Aldabra Atoll",207144
"Aldabra Atoll",207146
"Aldabra Atoll",207150
"Aldabra Atoll",207152
"Aldabra Atoll",207153
"Aldabra Atoll",207156
"Aldabra Atoll",207163
"Aldabra Atoll",207164
"Aldabra Atoll",207167
"Aldabra Atoll",207181
"Aldabra Atoll",207185
"Aldabra Atoll",207186
"Aldabra Atoll",207188
"Aldabra Atoll",207190
"Aldabra Atoll",207195
"Aldabra Atoll",207198
"Aldabra Atoll",207200
"Aldabra Atoll",207203
"Aldabra Atoll",207208
"Aldabra Atoll",207210
"Aldabra Atoll",207211
"Aldabra Atoll",207212
"Aldabra Atoll",207219
"Aldabra Atoll",207220
"Aldabra Atoll",207221
"Aldabra Atoll",207224
"Aldabra Atoll",207225
"Aldabra Atoll",207226
"Aldabra Atoll",207227
"Aldabra Atoll",207228
"Aldabra Atoll",207229
"Aldabra Atoll",207231
"Aldabra Atoll",207234
"Aldabra Atoll",207246
"Aldabra Atoll",207249
"Aldabra Atoll",207255
"Aldabra Atoll",207258
"Aldabra Atoll",207261
"Aldabra Atoll",207267
"Aldabra Atoll",207271
"Aldabra Atoll",207272
"Aldabra Atoll",207274
"Aldabra Atoll",207279
"Aldabra Atoll",207282
"Aldabra Atoll",207283
"Aldabra Atoll",207284
"Aldabra Atoll",207286
"Aldabra Atoll",207287
"Aldabra Atoll",207288
"Aldabra Atoll",207290
"Aldabra Atoll",207291
"Aldabra Atoll",207292
"Aldabra Atoll",207293
"Aldabra Atoll",207301
"Aldabra Atoll",207302
"Aldabra Atoll",207303
"Aldabra Atoll",207306
"Aldabra Atoll",207307
"Aldabra Atoll",207309
"Aldabra Atoll",207312
"Aldabra Atoll",207315
"Aldabra Atoll",207317
"Aldabra Atoll",207318
"Aldabra Atoll",207319
"Aldabra Atoll",207320
"Aldabra Atoll",207323
"Aldabra Atoll",207324
"Aldabra Atoll",207325
"Aldabra Atoll",207326
"Aldabra Atoll",207328
"Aldabra Atoll",207350
"Aldabra Atoll",207361
"Aldabra Atoll",207363
"Aldabra Atoll",207364
"Aldabra Atoll",207366
"Aldabra Atoll",207368
"Aldabra Atoll",207369
"Aldabra Atoll",207370
"Aldabra Atoll",207373
"Aldabra Atoll",207374
"Aldabra Atoll",207378
"Aldabra Atoll",207384
"Aldabra Atoll",207385
"Aldabra Atoll",207390
"Aldabra Atoll",207391
"Aldabra Atoll",207392
"Aldabra Atoll",207402
"Aldabra Atoll",207403
"Aldabra Atoll",207406
"Aldabra Atoll",207407
"Aldabra Atoll",207413
"Aldabra Atoll",207415
"Aldabra Atoll",207416
"Aldabra Atoll",207417
"Aldabra Atoll",207418
"Aldabra Atoll",207420
"Aldabra Atoll",207421
"Aldabra Atoll",207444
"Aldabra Atoll",207446
"Aldabra Atoll",207447
"Aldabra Atoll",207449
"Aldabra Atoll",207451
"Aldabra Atoll",207452
"Aldabra Atoll",207455
"Aldabra Atoll",207461
"Aldabra Atoll",207463
"Aldabra Atoll",207464
"Aldabra Atoll",207466
"Aldabra Atoll",207470
"Aldabra Atoll",207471
"Aldabra Atoll",207474
"Aldabra Atoll",207476
"Aldabra Atoll",207477
"Aldabra Atoll",207485
"Aldabra Atoll",207486
"Aldabra Atoll",207487
"Aldabra Atoll",207488
"Aldabra Atoll",207489
"Aldabra Atoll",207490
"Aldabra Atoll",207494
"Aldabra Atoll",207495
"Aldabra Atoll",207496
"Aldabra Atoll",207497
"Aldabra Atoll",207498
"Aldabra Atoll",207501
"Aldabra Atoll",207505
"Aldabra Atoll",207506
"Aldabra Atoll",207507
"Aldabra Atoll",207510
"Aldabra Atoll",207511
"Aldabra Atoll",207515
"Aldabra Atoll",207518
"Aldabra Atoll",207607
"Aldabra Atoll",207610
"Aldabra Atoll",207613
"Aldabra Atoll",207617
"Aldabra Atoll",207618
"Aldabra Atoll",208064
"Aldabra Atoll",208914
"Aldabra Atoll",208915
"Aldabra Atoll",208940
"Aldabra Atoll",208943
"Aldabra Atoll",209003
"Aldabra Atoll",209205
"Aldabra Atoll",209209
"Aldabra Atoll",209212
"Aldabra Atoll",209215
"Aldabra Atoll",209216
"Aldabra Atoll",209277
"Aldabra Atoll",209298
"Aldabra Atoll",209326
"Aldabra Atoll",209364
"Aldabra Atoll",209369
"Aldabra Atoll",209371
"Aldabra Atoll",209373
"Aldabra Atoll",209384
"Aldabra Atoll",209390
"Aldabra Atoll",209391
"Aldabra Atoll",209399
"Aldabra Atoll",209401
"Aldabra Atoll",209402
"Aldabra Atoll",209403
"Aldabra Atoll",209404
"Aldabra Atoll",209406
"Aldabra Atoll",209408
"Aldabra Atoll",210242
"Aldabra Atoll",210510
"Aldabra Atoll",210521
"Aldabra Atoll",210725
"Aldabra Atoll",210728
"Aldabra Atoll",210729
"Aldabra Atoll",210730
"Aldabra Atoll",210733
"Aldabra Atoll",210788
"Aldabra Atoll",210916
"Aldabra Atoll",211103
"Aldabra Atoll",211342
"Aldabra Atoll",211418
"Aldabra Atoll",211419
"Aldabra Atoll",211498
"Aldabra Atoll",211510
"Aldabra Atoll",211521
"Aldabra Atoll",211522
"Aldabra Atoll",211524
"Aldabra Atoll",211527
"Aldabra Atoll",211528
"Aldabra Atoll",211532
"Aldabra Atoll",211533
"Aldabra Atoll",211549
"Aldabra Atoll",211564
"Aldabra Atoll",211566
"Aldabra Atoll",211573
"Aldabra Atoll",211665
"Aldabra Atoll",211677
"Aldabra Atoll",211680
"Aldabra Atoll",211746
"Aldabra Atoll",211774
"Aldabra Atoll",211787
"Aldabra Atoll",211864
"Aldabra Atoll",211888
"Aldabra Atoll",211906
"Aldabra Atoll",211919
"Aldabra Atoll",212010
"Aldabra Atoll",212034
"Aldabra Atoll",212038
"Aldabra Atoll",212063
"Aldabra Atoll",212075
"Aldabra Atoll",212079
"Aldabra Atoll",212081
"Aldabra Atoll",212082
"Aldabra Atoll",212085
"Aldabra Atoll",212177
"Aldabra Atoll",212178
"Aldabra Atoll",212207
"Aldabra Atoll",212209
"Aldabra Atoll",212211
"Aldabra Atoll",212212
"Aldabra Atoll",212213
"Aldabra Atoll",212216
"Aldabra Atoll",212217
"Aldabra Atoll",212242
"Aldabra Atoll",212256
"Aldabra Atoll",212257
"Aldabra Atoll",212264
"Aldabra Atoll",212290
"Aldabra Atoll",212291
"Aldabra Atoll",212371
"Aldabra Atoll",212378
"Aldabra Atoll",212449
"Aldabra Atoll",212461
"Aldabra Atoll",212528
"Aldabra Atoll",212529
"Aldabra Atoll",212546
"Aldabra Atoll",212594
"Aldabra Atoll",212595
"Aldabra Atoll",212770
"Aldabra Atoll",212774
"Aldabra Atoll",212793
"Aldabra Atoll",212795
"Aldabra Atoll",212799
"Aldabra Atoll",212806
"Aldabra Atoll",212808
"Aldabra Atoll",212810
"Aldabra Atoll",212823
"Aldabra Atoll",212843
"Aldabra Atoll",212846
"Aldabra Atoll",212848
"Aldabra Atoll",212854
"Aldabra Atoll",212855
"Aldabra Atoll",212856
"Aldabra Atoll",212859
"Aldabra Atoll",212860
"Aldabra Atoll",212862
"Aldabra Atoll",212870
"Aldabra Atoll",212878
"Aldabra Atoll",212879
"Aldabra Atoll",212888
"Aldabra Atoll",212964
"Aldabra Atoll",212990
"Aldabra Atoll",212993
